lane,target,value,units,elapsed_s,statements,errors,timestamp
parse-speed,sqlite-mainline,64955,statements_per_second,2.418837,157116,191,2026-04-28T03:16:01Z
parse-speed,sqlite-leap-c,2378,statements_per_second,66.137202,157307,52122,2026-04-28T03:17:07Z
select-in-memory,sqlite-mainline,625370,selects_per_second,0.159905,100000,0,2026-04-28T03:17:08Z
select-in-memory,sqlite-leap-c,966972,selects_per_second,0.103416,100000,0,2026-04-28T03:17:08Z
insert-throughput,sqlite-mainline,681473,inserts_per_second,0.146748,100005,0,2026-04-28T03:17:08Z
insert-throughput,sqlite-leap-c,1242482,inserts_per_second,0.080488,100005,0,2026-04-28T03:17:08Z
