lane,metric,target,value,unit
1,cold_start_open_plus_select_1,leap-c,0.004825,s
1,cold_start_open_plus_select_1,leap-rust,0.009904,s
1,cold_start_open_plus_select_1,mainline,0.007839,s
2,parse_heavy_5000_inserts,leap-c,0.010789,s
2,parse_heavy_5000_inserts,leap-rust,0.027775,s
2,parse_heavy_5000_inserts,mainline,0.012565,s
3,full_scan_10k_rows,leap-c,0.009631,s
3,full_scan_10k_rows,leap-rust,0.006384,s
3,full_scan_10k_rows,mainline,0.008345,s
4,10k_inserts_single_writer,leap-c,0.016103,s
4,10k_inserts_single_writer,leap-rust,0.035223,s
4,10k_inserts_single_writer,mainline,0.017194,s
5,binary_size,leap-c-cli,235408,bytes
5,binary_size,leap-rust-cli,822800,bytes
5,binary_size,mainline-sqlite3,4690560,bytes
6,peak_rss_small_db_open_plus_select,leap-c,1638400,bytes
6,peak_rss_small_db_open_plus_select,leap-rust,1916928,bytes
6,peak_rss_small_db_open_plus_select,mainline,2916352,bytes
