lane,metric,target,value,unit
1,cold_start_open_plus_select_1,leap-c,0.004193,s
1,cold_start_open_plus_select_1,leap-rust,0.008941,s
1,cold_start_open_plus_select_1,mainline,0.007529,s
2,parse_heavy_5000_inserts,leap-c,0.007785,s
2,parse_heavy_5000_inserts,leap-rust,0.025292,s
2,parse_heavy_5000_inserts,mainline,0.012249,s
3,full_scan_10k_rows,leap-c,0.007720,s
3,full_scan_10k_rows,leap-rust,0.005476,s
3,full_scan_10k_rows,mainline,0.008773,s
4,10k_inserts_single_writer,leap-c,0.011739,s
4,10k_inserts_single_writer,leap-rust,0.031721,s
4,10k_inserts_single_writer,mainline,0.015334,s
5,binary_size,leap-c-cli,113248,bytes
5,binary_size,leap-rust-cli,503872,bytes
5,binary_size,leap-rust-wasm,116341,bytes
5,binary_size,mainline-sqlite3,1809536,bytes
6,peak_rss_small_db_open_plus_select,leap-c,1540096,bytes
6,peak_rss_small_db_open_plus_select,leap-rust,1671168,bytes
6,peak_rss_small_db_open_plus_select,mainline,3768320,bytes
