lane,target,value,units,timestamp
cold-start,sqlite-leap-c,0.025044232,seconds,2026-04-21T01:54:27Z
cold-start,sqlite-leap-rust,0.032487815,seconds,2026-04-21T01:54:30Z
cold-start,sqlite-mainline,0.121704597,seconds,2026-04-21T01:54:37Z
binary-size,sqlite-leap-c,424536,bytes,2026-04-21T01:54:38Z
binary-size,sqlite-leap-rust,1346016,bytes,2026-04-21T01:54:38Z
binary-size,sqlite-mainline,1233632,bytes,2026-04-21T01:54:39Z
memory-footprint,sqlite-leap-c,5033984,bytes,2026-04-21T01:54:40Z
memory-footprint,sqlite-leap-rust,5672960,bytes,2026-04-21T01:54:42Z
memory-footprint,sqlite-mainline,6057984,bytes,2026-04-21T01:54:44Z
parse-speed,sqlite-leap-c,NA,pending-harness-fix,2026-04-21T01:54:44Z
parse-speed,sqlite-leap-rust,NA,pending-harness-fix,2026-04-21T01:54:44Z
parse-speed,sqlite-mainline,NA,pending-harness-fix,2026-04-21T01:54:44Z
select-in-memory,sqlite-leap-c,NA,pending-harness-fix,2026-04-21T01:54:44Z
select-in-memory,sqlite-leap-rust,NA,pending-harness-fix,2026-04-21T01:54:44Z
select-in-memory,sqlite-mainline,NA,pending-harness-fix,2026-04-21T01:54:44Z
insert-throughput,sqlite-leap-c,NA,pending-harness-fix,2026-04-21T01:54:44Z
insert-throughput,sqlite-leap-rust,NA,pending-harness-fix,2026-04-21T01:54:44Z
insert-throughput,sqlite-mainline,NA,pending-harness-fix,2026-04-21T01:54:44Z
