lane,metric,target,value,unit
1,cold_start_open_plus_select_1,leap-c,0.003948,s
1,cold_start_open_plus_select_1,leap-rust,0.008950,s
1,cold_start_open_plus_select_1,mainline,0.006171,s
2,parse_heavy_5000_inserts,leap-c,0.009778,s
2,parse_heavy_5000_inserts,leap-rust,0.026542,s
2,parse_heavy_5000_inserts,mainline,0.011212,s
3,full_scan_10k_rows,leap-c,0.008036,s
3,full_scan_10k_rows,leap-rust,0.005496,s
3,full_scan_10k_rows,mainline,0.007032,s
4,10k_inserts_single_writer,leap-c,0.015432,s
4,10k_inserts_single_writer,leap-rust,0.034787,s
4,10k_inserts_single_writer,mainline,0.015787,s
5,binary_size,leap-c-cli,271504,bytes
5,binary_size,leap-rust-cli,894512,bytes
5,binary_size,mainline-sqlite3,4690560,bytes
6,peak_rss_small_db_open_plus_select,leap-c,1687552,bytes
6,peak_rss_small_db_open_plus_select,leap-rust,1949696,bytes
6,peak_rss_small_db_open_plus_select,mainline,2932736,bytes
