lane,metric,target,value,unit
1,cold_start_open_plus_select_1,leap-c,0.004994,s
1,cold_start_open_plus_select_1,leap-rust,0.009843,s
1,cold_start_open_plus_select_1,mainline,0.006630,s
2,parse_heavy_5000_inserts,leap-c,0.010682,s
2,parse_heavy_5000_inserts,leap-rust,0.027145,s
2,parse_heavy_5000_inserts,mainline,0.012053,s
3,full_scan_10k_rows,leap-c,0.008713,s
3,full_scan_10k_rows,leap-rust,0.005921,s
3,full_scan_10k_rows,mainline,0.007885,s
4,10k_inserts_single_writer,leap-c,0.016752,s
4,10k_inserts_single_writer,leap-rust,0.035531,s
4,10k_inserts_single_writer,mainline,0.016388,s
5,binary_size,leap-c-cli,288928,bytes
5,binary_size,leap-rust-cli,929232,bytes
5,binary_size,mainline-sqlite3,4690560,bytes
6,peak_rss_small_db_open_plus_select,leap-c,1720320,bytes
6,peak_rss_small_db_open_plus_select,leap-rust,1982464,bytes
6,peak_rss_small_db_open_plus_select,mainline,2916352,bytes
