lane,metric,target,value,unit
1,cold_start_open_plus_select_1,leap-c,0.004023,s
1,cold_start_open_plus_select_1,leap-rust,0.008970,s
1,cold_start_open_plus_select_1,mainline,0.007978,s
2,parse_heavy_5000_inserts,leap-c,0.008463,s
2,parse_heavy_5000_inserts,leap-rust,0.024154,s
2,parse_heavy_5000_inserts,mainline,0.011764,s
3,full_scan_10k_rows,leap-c,0.007947,s
3,full_scan_10k_rows,leap-rust,0.005593,s
3,full_scan_10k_rows,mainline,0.008978,s
4,10k_inserts_single_writer,leap-c,0.013239,s
4,10k_inserts_single_writer,leap-rust,0.030531,s
4,10k_inserts_single_writer,mainline,0.015534,s
5,binary_size,leap-c-cli,148400,bytes
5,binary_size,leap-rust-cli,608656,bytes
5,binary_size,leap-rust-wasm,237260,bytes
5,binary_size,mainline-sqlite3,1809536,bytes
6,peak_rss_small_db_open_plus_select,leap-c,1572864,bytes
6,peak_rss_small_db_open_plus_select,leap-rust,1769472,bytes
6,peak_rss_small_db_open_plus_select,mainline,3588096,bytes
