lane,metric,target,value,unit
1,cold_start_open_plus_select_1,leap-c,0.003875,s
1,cold_start_open_plus_select_1,leap-rust,0.008960,s
1,cold_start_open_plus_select_1,mainline,0.007489,s
2,parse_heavy_5000_inserts,leap-c,0.008128,s
2,parse_heavy_5000_inserts,leap-rust,0.027737,s
2,parse_heavy_5000_inserts,mainline,0.011823,s
3,full_scan_10k_rows,leap-c,0.007632,s
3,full_scan_10k_rows,leap-rust,0.005142,s
3,full_scan_10k_rows,mainline,0.008413,s
4,10k_inserts_single_writer,leap-c,0.011767,s
4,10k_inserts_single_writer,leap-rust,0.034610,s
4,10k_inserts_single_writer,mainline,0.015445,s
5,binary_size,leap-c-cli,113248,bytes
5,binary_size,leap-rust-cli,622576,bytes
5,binary_size,leap-rust-wasm,109657,bytes
5,binary_size,mainline-sqlite3,1809536,bytes
6,peak_rss_small_db_open_plus_select,leap-c,1540096,bytes
6,peak_rss_small_db_open_plus_select,leap-rust,1785856,bytes
6,peak_rss_small_db_open_plus_select,mainline,3653632,bytes
