lane,metric,target,value,unit
1,cold_start_open_plus_select_1,leap-c,0.004197,s
1,cold_start_open_plus_select_1,leap-rust,0.008915,s
1,cold_start_open_plus_select_1,mainline,0.007887,s
2,parse_heavy_5000_inserts,leap-c,0.008712,s
2,parse_heavy_5000_inserts,leap-rust,0.024588,s
2,parse_heavy_5000_inserts,mainline,0.012410,s
3,full_scan_10k_rows,leap-c,0.008056,s
3,full_scan_10k_rows,leap-rust,0.005520,s
3,full_scan_10k_rows,mainline,0.008857,s
4,10k_inserts_single_writer,leap-c,0.013486,s
4,10k_inserts_single_writer,leap-rust,0.030382,s
4,10k_inserts_single_writer,mainline,0.016290,s
5,binary_size,leap-c-cli,148400,bytes
5,binary_size,leap-rust-cli,625616,bytes
5,binary_size,leap-rust-wasm,249818,bytes
5,binary_size,mainline-sqlite3,1809536,bytes
6,peak_rss_small_db_open_plus_select,leap-c,1589248,bytes
6,peak_rss_small_db_open_plus_select,leap-rust,1769472,bytes
6,peak_rss_small_db_open_plus_select,mainline,3489792,bytes
