lane,metric,target,value,unit
1,cold_start_open_plus_select_1,leap-c,0.004006,s
1,cold_start_open_plus_select_1,leap-rust,0.009107,s
1,cold_start_open_plus_select_1,mainline,0.008735,s
2,parse_heavy_5000_inserts,leap-c,0.010148,s
2,parse_heavy_5000_inserts,leap-rust,0.025907,s
2,parse_heavy_5000_inserts,mainline,0.011689,s
3,full_scan_10k_rows,leap-c,0.008397,s
3,full_scan_10k_rows,leap-rust,0.005465,s
3,full_scan_10k_rows,mainline,0.009042,s
4,10k_inserts_single_writer,leap-c,0.014982,s
4,10k_inserts_single_writer,leap-rust,0.033982,s
4,10k_inserts_single_writer,mainline,0.015912,s
5,binary_size,leap-c-cli,183184,bytes
5,binary_size,leap-rust-cli,732960,bytes
5,binary_size,leap-rust-wasm,335481,bytes
5,binary_size,mainline-sqlite3,1809536,bytes
6,peak_rss_small_db_open_plus_select,leap-c,1589248,bytes
6,peak_rss_small_db_open_plus_select,leap-rust,1835008,bytes
6,peak_rss_small_db_open_plus_select,mainline,3653632,bytes
