Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     43.51     0.00   144323     0.00     0.00  leap_text_from_borrowed
  0.00     43.51     0.00   144323     0.00     0.00  leap_text_release_local
  0.00     43.51     0.00   118104     0.00     0.00  column_list_push
  0.00     43.51     0.00   118104     0.00     0.00  expr_list_push
  0.00     43.51     0.00   116070     0.00     0.00  schema_has_column
  0.00     43.51     0.00    92439     0.00     0.00  xstrdup_view
  0.00     43.51     0.00    89983     0.00     0.00  ascii_iequal
  0.00     43.51     0.00    75618     0.00     0.00  emitter_bind_here
  0.00     43.51     0.00    75618     0.00     0.00  emitter_fresh_label
  0.00     43.51     0.00    75618     0.00     0.00  emitter_push_with_patch
  0.00     43.51     0.00    72235     0.00     0.00  expr_heap_dup
  0.00     43.51     0.00    72235     0.00     0.00  leap_expr_destroy
  0.00     43.51     0.00    65952     0.00     0.00  release_optional_expr
  0.00     43.51     0.00    65653     0.00     0.00  classify
  0.00     43.51     0.00    64207     0.00     0.00  leap_opcode_list_release
  0.00     43.51     0.00    63417     0.00     0.00  sc_cte_lookup
  0.00     43.51     0.00    51262     0.00     0.00  join_source_list_push
  0.00     43.51     0.00    50837     0.00     0.00  flatten_from
  0.00     43.51     0.00    50412     0.00     0.00  compile_expr_in_multi
  0.00     43.51     0.00    50412     0.00     0.00  emitter_append_list
  0.00     43.51     0.00    39511     0.00     0.00  leap_parser_tokenize
  0.00     43.51     0.00    39511     0.00     0.00  leap_parser_tokens_release
  0.00     43.51     0.00    39316     0.00     0.00  leap_text_dup
  0.00     43.51     0.00    39287     0.00     0.00  leap_table_ref_release
  0.00     43.51     0.00    38375     0.00     0.00  halt_ok_outcome
  0.00     43.51     0.00    38375     0.00     0.00  leap_vdbe_state_destroy
  0.00     43.51     0.00    38375     0.00     0.00  leap_vdbe_state_new
  0.00     43.51     0.00    38375     0.00     0.00  vdbe_state_deinit
  0.00     43.51     0.00    38375     0.00     0.00  vdbe_state_init
  0.00     43.51     0.00    26659     0.00     0.00  leap_projection_item_release
  0.00     43.51     0.00    26659     0.00     0.00  parse_projection_item
  0.00     43.51     0.00    26659     0.00     0.00  projection_list_push
  0.00     43.51     0.00    26458     0.00     0.00  leap_storage_database_table_count
  0.00     43.51     0.00    26282     0.00     0.00  catalog_find
  0.00     43.51     0.00    26259     0.00     0.00  leap_text_from_borrowed
  0.00     43.51     0.00    26259     0.00     0.00  leap_text_release
  0.00     43.51     0.00    26259     0.00     0.00  parse_table_atom
  0.00     43.51     0.00    26219     0.00     0.00  err_ok
  0.00     43.51     0.00    26219     0.00     0.00  leap_insert_column_list_release
  0.00     43.51     0.00    26219     0.00     0.00  leap_insert_row_list_release
  0.00     43.51     0.00    26219     0.00     0.00  leap_insert_row_release
  0.00     43.51     0.00    26219     0.00     0.00  leap_insert_stmt_release
  0.00     43.51     0.00    26219     0.00     0.00  leap_parser_insert_stmt_parse_insert
  0.00     43.51     0.00    26219     0.00     0.00  leap_result_column_list_release
  0.00     43.51     0.00    26219     0.00     0.00  release_expr_list
  0.00     43.51     0.00    26219     0.00     0.00  row_list_push
  0.00     43.51     0.00    26219     0.00     1.10  run_insert
  0.00     43.51     0.00    26059     0.00     0.00  sc_schema_lookup
  0.00     43.51     0.00    26056     0.00     0.00  leap_table_ref_destroy
  0.00     43.51     0.00    25835     0.00     0.00  table_pk_index_reserve
  0.00     43.51     0.00    25835     0.00     0.00  table_rowids_reserve
  0.00     43.51     0.00    25835     0.00     0.00  table_rows_reserve
  0.00     43.51     0.00    25772     0.00     0.00  leap_compile_insert_ok_release
  0.00     43.51     0.00    25772     0.00     0.00  leap_compiler_insert_compile_compile_insert
  0.00     43.51     0.00    25772     0.00     0.00  leap_compiler_insert_compile_compile_insert_with_source
  0.00     43.51     0.00    25772     0.00     0.00  leap_storage_cursor_insert_row
  0.00     43.51     0.00    25772     0.00     0.00  leap_storage_open_write_cursor
  0.00     43.51     0.00    25772     0.00     0.00  pk_index_lower_bound
  0.00     43.51     0.00    25772     0.00     0.00  row_release
  0.00     43.51     0.00    25631     0.00     0.00  join_source_list_init
  0.00     43.51     0.00    25631     0.00     0.00  join_source_list_release
  0.00     43.51     0.00    25206     0.00     0.00  collect_aggregates_c
  0.00     43.51     0.00    25206     0.00     0.00  expr_ref_list_push_ptr
  0.00     43.51     0.00    25206     0.00     0.00  sc_map_binop
  0.00     43.51     0.00    13670     0.00     0.00  text_from_cstr
  0.00     43.51     0.00    13231     0.00     0.00  is_statement_boundary_tag
  0.00     43.51     0.00    13231     0.00     0.00  leap_compound_tail_list_release
  0.00     43.51     0.00    13231     0.00     0.00  leap_cte_binding_list_release
  0.00     43.51     0.00    13231     0.00     0.00  leap_group_by_list_release
  0.00     43.51     0.00    13231     0.00     0.00  leap_order_by_item_list_release
  0.00     43.51     0.00    13231     0.00     0.00  leap_parser_select_stmt_parse_select
  0.00     43.51     0.00    13231     0.00     0.00  leap_projection_item_list_release
  0.00     43.51     0.00    13231     0.00     0.00  leap_select_stmt_release
  0.00     43.51     0.00    13231     0.00     0.00  parse_from_opt
  0.00     43.51     0.00    13231     0.00     0.00  parse_group_by_opt
  0.00     43.51     0.00    13231     0.00     0.00  parse_having_opt
  0.00     43.51     0.00    13231     0.00     0.00  parse_limit_opt
  0.00     43.51     0.00    13231     0.00     0.00  parse_order_by_opt.constprop.0
  0.00     43.51     0.00    13231     0.00     0.00  parse_projection_list
  0.00     43.51     0.00    13231     0.00     0.00  parse_select_core
  0.00     43.51     0.00    13231     0.00     0.00  parse_select_inner.constprop.0
  0.00     43.51     0.00    13231     0.00     0.00  parse_table_or_join_group
  0.00     43.51     0.00    13231     0.00     0.00  parse_where_opt
  0.00     43.51     0.00    13231     0.00     0.00  release_optional_table_ref
  0.00     43.51     0.00    13229     0.00     0.00  catalog_first_schema
  0.00     43.51     0.00    13229     0.00     0.00  leap_compiler_select_compile_compile_select
  0.00     43.51     0.00    13229     0.00     0.00  leap_compiler_select_compile_compile_select_body
  0.00     43.51     0.00    13229     0.00     1.06  run_select
  0.00     43.51     0.00    13114     0.00     0.00  eval_unaryop
  0.00     43.51     0.00    13114     0.00     0.00  v_real
  0.00     43.51     0.00    13028     0.00     0.00  leap_string_list_release
  0.00     43.51     0.00    13028     0.00     0.00  parse_join_constraint.constprop.0
  0.00     43.51     0.00    12918     0.00     0.00  map_unop
  0.00     43.51     0.00    12804     0.00     0.00  sc_splice_expr_prelude
  0.00     43.51     0.00    12603     0.00     0.00  agg_slot_list_init
  0.00     43.51     0.00    12603     0.00     0.00  agg_slot_list_release
  0.00     43.51     0.00    12603     0.00     0.00  compile_joined_select
  0.00     43.51     0.00    12603     0.00     0.00  emit_inner_body.constprop.0
  0.00     43.51     0.00    12603     0.00     0.00  emitter_init
  0.00     43.51     0.00    12603     0.00     0.00  emitter_release
  0.00     43.51     0.00    12603     0.00     0.00  emitter_resolve
  0.00     43.51     0.00    12603     0.00     0.00  expr_ref_list_init
  0.00     43.51     0.00    12603     0.00     0.00  expr_ref_list_release
  0.00     43.51     0.00    12603     0.00     0.00  leap_compile_select_ok_release
  0.00     43.51     0.00    12603     0.00     0.00  leap_compiler_select_compile_compile_select_multi
  0.00     43.51     0.00    12603     0.00     0.00  select_needs_aggregate
  0.00     43.51     0.00     6354     0.00     0.00  sc_map_unop
  0.00     43.51     0.00     5607     0.00     0.00  err_at
  0.00     43.51     0.00      819     0.00     0.00  err_ok
  0.00     43.51     0.00      819     0.00     0.00  text_release
  0.00     43.51     0.00      756     0.00     0.00  leap_column_constraint_list_release
  0.00     43.51     0.00      626     0.00     0.00  leap_compile_error_make
  0.00     43.51     0.00      626     0.00     0.00  leap_compile_error_release
  0.00     43.51     0.00      593     0.00     0.00  continue_outcome
  0.00     43.51     0.00      504     0.00     0.00  strview_cstr
  0.00     43.51     0.00      441     0.00     0.00  leap_text_from_borrowed
  0.00     43.51     0.00      378     0.00     0.00  column_def_list_push
  0.00     43.51     0.00      378     0.00     0.00  leap_column_def_release
  0.00     43.51     0.00      378     0.00     0.00  leap_parser_create_table_stmt_parse_column_def
  0.00     43.51     0.00      378     0.00     0.00  type_params_release
  0.00     43.51     0.00      201     0.00     0.00  leap_storage_database_lookup_view
  0.00     43.51     0.00      201     0.00     0.00  sc_view_lookup_sql
  0.00     43.51     0.00      199     0.00     0.00  group_by_list_push
  0.00     43.51     0.00      198     0.00     0.00  emit_row_outcome
  0.00     43.51     0.00      198     0.00     0.00  sink
  0.00     43.51     0.00       64     0.00     0.00  run_create_table
  0.00     43.51     0.00       63     0.00     0.00  catalog_install_table
  0.00     43.51     0.00       63     0.00     0.00  column_constraint_list_push
  0.00     43.51     0.00       63     0.00     0.00  db_tables_reserve
  0.00     43.51     0.00       63     0.00     0.00  leap_column_constraint_release
  0.00     43.51     0.00       63     0.00     0.00  leap_column_def_list_release
  0.00     43.51     0.00       63     0.00     0.00  leap_create_table_stmt_release
  0.00     43.51     0.00       63     0.00     0.00  leap_parser_create_table_stmt_parse_create_table
